"",BBEX3.D.VEF.EUR.CA.AC.000,BBEX3.D.VEF.EUR.CA.AC.000_FLAGS
2010-11-13,.,No value available
2010-11-14,.,No value available
2010-11-15,3.52327075,
2010-11-16,.,No value available
2010-11-17,.,No value available
2010-11-18,.,No value available
2010-11-19,3.55417270,
2010-11-20,.,No value available
2010-11-21,.,No value available
2010-11-22,.,No value available
2010-11-23,.,No value available
2010-11-24,.,No value available
2010-11-25,.,No value available
2010-11-26,3.43874700,
2010-11-27,.,No value available
2010-11-28,.,No value available
2010-11-29,.,No value available
2010-11-30,3.37071150,
2010-12-01,.,No value available
2010-12-02,.,No value available
2010-12-03,3.48211210,
2010-12-04,.,No value available
2010-12-05,.,No value available
2010-12-06,.,No value available
2010-12-07,.,No value available
2010-12-08,.,No value available
2010-12-09,.,No value available
2010-12-10,3.43524090,
2010-12-11,.,No value available
2010-12-12,.,No value available
2010-12-13,.,No value available
2010-12-14,.,No value available
2010-12-15,3.43303385,
2010-12-16,.,No value available
2010-12-17,.,No value available
2010-12-18,.,No value available
2010-12-19,.,No value available
2010-12-20,.,No value available
2010-12-21,.,No value available
2010-12-22,.,No value available
2010-12-23,.,No value available
2010-12-24,3.40615765,
2010-12-25,.,No value available
2010-12-26,.,No value available
2010-12-27,.,No value available
2010-12-28,.,No value available
2010-12-29,.,No value available
2010-12-30,.,No value available
2010-12-31,3.46705190,
"","General: Currency conversion with effect from 1 January 2008 at a rate of 1,000 bolívares = 1 bolívar fuerte; banknotes and coins denominated in (old) bolívares remained legal tender at this rate until the end of 2011. A multiple exchange rate system was introduced on 11 January 2010. Use of exchange rates from 11 January to 31 December 2010: Official exchange rate I: for certain capital inflows and public-sector debt service payments (excluding the oil sector); for unrequited transfers (including pension and benefit payments abroad and foreign currency transactions by diplomatic missions) as well as for imports of important consumer and producer goods. Official exchange rate II (see BBEX3:D:VEF:EUR:CA:AC:B00): for almost all other public and private sector foreign exchange transactions (including export revenue from oil deliveries). In addition, various transactions (eg servicing of private external debt) were carried out using an exchange rate stipulated by the national government and the Venezuelan central bank. On 1 January 2011, the official exchange rates I and II were standardised on the basis of the second exchange rate.",
"","Source: Calculated on the basis of the buying and selling rates of the Banco Central de Venezuela, Caracas.",
"","Comment on 2010-01-11: A multiple exchange rate system was introduced; on the basis of the exchange rates on 8 January 2010 and on 11 January 2010, the devaluation for official exchange rate I was 17.9%. For official exchange rate II, see BBEX3:D:VEF:EUR:CA:AC:B00.",
