eindrucksvoll,ADJX,0.3001,"eindrucksvollerer,eindrucksvolleres,eindrucksvollere,eindrucksvollster,eindrucksvollen,eindrucksvollstes,eindrucksvolles,eindrucksvollstem,eindrucksvollsten,eindrucksvoller,eindrucksvollem,eindrucksvollst,eindrucksvollste,eindrucksvolle,eindrucksvollerem,eindrucksvolleren"
einfach,ADJX,0.004,"einfache,einfachstem,einfachsten,einfachster,einfachstes,einfacherem,einfachst,einfachste,einfacheren,einfacheres,einfaches,einfacherer,einfacher,einfachere,einfachem,einfachen"
einfallsreich,ADJX,0.2031,"einfallsreichsten,einfallsreichstem,einfallsreiches,einfallsreicher,einfallsreichster,einfallsreichem,einfallsreichen,einfallsreichere,einfallsreichst,einfallsreiche,einfallsreichstes,einfallsreicherer,einfallsreicheren,einfallsreicherem,einfallsreichste,einfallsreicheres"
einflu«?reich,ADJX,0.004,"einflu«?reicheren,einflu«?reichstem,einflu«?reichsten,einflu«?reicherem,einflu«?reichster,einflu«?reiche,einflu«?reichere,einflu«?reicheres,einflu«?reicherer,einflu«?reichem,einflu«?reichen,einflu«?reichste,einflu«?reiches,einflu«?reicher,einflu«?reichst,einflu«?reichstes"
einhalten,VVINF,0.004,
einheitlich,ADJX,0.004,"einheitlichste,einheitliches,einheitlichst,einheitlichsten,einheitlicheres,einheitlichstem,einheitlicher,einheitlicherer,einheitlicherem,einheitliche,einheitlicheren,einheitlichere,einheitlichster,einheitlichstes,einheitlichem,einheitlichen"
einkaufen,VVINF,0.2249,"einkaufest,einkauftet,eingekauft,einkaufet,einkaufe,einkaufst,einkauftest,einkaufte,einkauf,einkauft,einkauften"
einmalig,ADJX,0.3137,"einmaligere,einmaligeren,einmaligerem,einmaligerer,einmaligeres,einmaligstem,einmaligen,einmaligsten,einmaligem,einmaligst,einmaligste,einmalige,einmaliges,einmaligstes,einmaliger,einmaligster"
einnehmen,VVINF,0.004,
einsparen,VVINF,0.004,"einspar,einsparten,einsparet,einspart,einspare,einsparst,einsparest,einspartest,einsparte,einspartet,eingespart"
eintr«œglich,ADJX,0.004,"eintr«œglichster,eintr«œglichstes,eintr«œgliche,eintr«œglichst,eintr«œglichstem,eintr«œglichsten,eintr«œglichere,eintr«œglichste,eintr«œglicherer,eintr«œglichen,eintr«œglichem,eintr«œglicheren,eintr«œglicherem,eintr«œgliches,eintr«œglicher,eintr«œglicheres"
einwandfrei,ADJX,0.0949,"einwandfreiem,einwandfreierer,einwandfreien,einwandfreieres,einwandfreiste,einwandfreieren,einwandfreier,einwandfreie,einwandfreies,einwandfreieste,einwandfreiere,einwandfreisten,einwandfreiester,einwandfreiest,einwandfreiestes,einwandfreistem,einwandfreist,einwandfreierem,einwandfreistes,einwandfreiestem,einwandfreister,einwandfreiesten"
einweihen,VVINF,0.004,
einzigartig,ADJX,0.3078,"einzigartigstes,einzigartigster,einzigartigerer,einzigartigste,einzigartiger,einzigartigeres,einzigartiges,einzigartigeren,einzigartigerem,einzigartigem,einzigartigere,einzigartigen,einzigartige,einzigartigsten,einzigartigst,einzigartigstem"
elegant,ADJX,0.2115,"eleganteren,eleganter,elegantes,eleganterem,elegantest,elegantere,elegantesten,elegantestem,elegantestes,elegantester,elegante,elegantem,eleganterer,eleganteste,eleganten,eleganteres"
empathisch,ADJX,0.004,"empathischste,empathischsten,empathischstem,empathischstes,empathischeres,empathischster,empathischerer,empathischeren,empathischerem,empathischer,empathischst,empathisches,empathischen,empathischere,empathische,empathischem"
empfehlen,VVINF,0.004,
empfehlenswert,ADJX,0.093,"empfehlenswerteres,empfehlenswerterer,empfehlenswerteren,empfehlenswerterem,empfehlenswertest,empfehlenswertestem,empfehlenswertestes,empfehlenswertester,empfehlenswerte,empfehlenswertere,empfehlenswertesten,empfehlenswertem,empfehlenswerten,empfehlenswerter,empfehlenswerteste,empfehlenswertes"
energisch,ADJX,0.004,"energische,energischstes,energischer,energischster,energischere,energisches,energischen,energischst,energischsten,energischem,energischstem,energischerem,energischeren,energischste,energischeres,energischerer"
engagieren,VVINF,0.004,"engagiertet,engagierst,engagierte,engagieret,engagierest,engagierten,engagiertest,engagiere,engagier,engagiert"
engagiert,VVINF,0.0869,"engagierteste,engagiertes,engagierte,engagiertest,engagiertestem,engagiertesten,engagiertestes,engagiertester,engagierteren,engagierteres,engagierterer,engagierten,engagiertem,engagiertere,engagierter,engagierterem"
enorm,ADJX,0.0898,"enormstes,enormere,enorme,enormen,enormem,enormes,enormer,enormste,enormerem,enormeren,enormstem,enormsten,enormerer,enormeres,enormst,enormster"
enthusiastisch,ADJX,0.004,"enthusiastischem,enthusiastischen,enthusiastischstem,enthusiastischsten,enthusiastischstes,enthusiastischster,enthusiastischst,enthusiastischere,enthusiastische,enthusiastischerer,enthusiastischste,enthusiastischer,enthusiastischeres,enthusiastisches,enthusiastischerem,enthusiastischeren"
entlasten,VVINF,0.004,"entlasttest,entlastetest,entlastte,entlastet,entlasttet,entlastten,entlastetet,entlaste,entlastest,entlasteten,entlastete,entlast"
entlohnen,VVINF,0.004,
entr«œtseln,VVINF,0.004,"entr«œtsle,entr«œtselt,entr«œtsele,entr«œtseltest,entr«œtsel,entr«œtseltet,entr«œtselten,entr«œtselst,entr«œtsl,entr«œtselte,entr«œtselen"
entschlossen,ADJX,0.004,"entschlossenstem,entschlossensten,entschlossene,entschlossenerer,entschlossenster,entschlossenere,entschlosseneres,entschlossenst,entschlossner,entschlossenem,entschlossenstes,entschlossenen,entschlossener,entschlossenes,entschlossnerem,entschlossnere,entschlossneren,entschlossnerer,entschlossenste,entschlossneres,entschlosseneren,entschlossenerem"
entschl«¨sseln,VVINF,0.004,"entschl«¨ssele,entschl«¨sselt,entschl«¨sseltest,entschl«¨ssel,entschl«¨sselten,entschl«¨sseltet,entschl«¨ssl,entschl«¨sselst,entschl«¨sselen,entschl«¨sselte,entschl«¨ssle"
entsch«œdigen,VVINF,0.004,
entspannen,VVINF,0.2406,"entspannet,entspanntet,entspannst,entspannte,entspann,entspannten,entspannest,entspanne,entspanntest,entspannt"
entwirren,VVINF,0.004,"entwirrtest,entwirrten,entwirrest,entwirrtet,entwirre,entwirrt,entwirrst,entwirret,entwirr,entwirrte"
entz«¨ckend,ADJX,0.0844,"entz«¨ckendstem,entz«¨ckenderem,entz«¨ckenderen,entz«¨ckendste,entz«¨ckender,entz«¨ckendes,entz«¨ckende,entz«¨ckenden,entz«¨ckendem,entz«¨ckendstes,entz«¨ckendster,entz«¨ckenderes,entz«¨ckendst,entz«¨ckendsten,entz«¨ckendere,entz«¨ckenderer"
epochal,ADJX,0.004,"epochalem,epochalere,epochalen,epochalster,epochalstes,epochaleres,epochalerer,epochalerem,epochalste,epochaleren,epochale,epochalst,epochalsten,epochales,epochaler,epochalstem"
erarbeiten,VVINF,0.004,"erarbeitest,erarbeitetest,erarbeiteten,erarbeittest,erarbeite,erarbeit,erarbeitete,erarbeittet,erarbeitte,erarbeitet,erarbeitetet,erarbeitten"
erben,VVINF,0.004,"erbst,geerbt,erbt,erbest,erbe,erbten,erb,erbtet,erbtest,erbet,erbte"
erfahren,ADJX,0.0927,"erfahrenst,erfahrenere,erfahrensten,erfahrenstem,erfahrneren,erfahrenstes,erfahrnerem,erfahrenster,erfahrnere,erfahrneres,erfahrnerer,erfahrner,erfahrenes,erfahrener,erfahrenerer,erfahrene,erfahrenem,erfahreneres,erfahrenerem,erfahrenen,erfahreneren,erfahrenste"
erfolgreich,ADJX,0.2193,"erfolgreichstem,erfolgreicheres,erfolgreichste,erfolgreicherer,erfolgreicherem,erfolgreiches,erfolgreichsten,erfolgreicheren,erfolgreicher,erfolgreichstes,erfolgreichster,erfolgreichst,erfolgreichem,erfolgreichen,erfolgreiche,erfolgreichere"
erfreuen,VVINF,0.2112,"erfreutest,erfreuten,erfreu,erfreutet,erfreut,erfreute,erfreust,erfreuet,erfreuest,erfreue"
erfreulich,ADJX,0.2197,"erfreulicher,erfreulicherem,erfreulicheren,erfreuliches,erfreulichsten,erfreulicherer,erfreulichste,erfreulichstem,erfreulicheres,erfreulichster,erfreuliche,erfreulichstes,erfreulichem,erfreulichen,erfreulichst,erfreulichere"
erfreulicher,ADJX,0.004,
erfrischend,ADJX,0.2227,
erf«¨llen,VVINF,0.004,"erf«¨llten,erf«¨llest,erf«¨llte,erf«¨llst,erf«¨llet,erf«¨lltet,erf«¨lle,erf«¨ll,erf«¨lltest,erf«¨llt"
ergebnisreich,ADJX,0.004,"ergebnisreichst,ergebnisreicherem,ergebnisreichstem,ergebnisreichsten,ergebnisreiches,ergebnisreichstes,ergebnisreicher,ergebnisreichster,ergebnisreichste,ergebnisreichen,ergebnisreichem,ergebnisreiche,ergebnisreichere,ergebnisreicherer,ergebnisreicheres,ergebnisreicheren"
ergiebig,ADJX,0.004,"ergiebiger,ergiebigere,ergiebigen,ergiebigem,ergiebigerem,ergiebiges,ergiebigerer,ergiebigeres,ergiebigeren,ergiebigst,ergiebigstes,ergiebigster,ergiebigste,ergiebigsten,ergiebige,ergiebigstem"
erg«œnzen,VVINF,0.2074,"erg«œnzte,erg«œnze,erg«œnzt,erg«œnzten,erg«œnzet,erg«œnz,erg«œnzest,erg«œnztet,erg«œnztest"
erhalten,VVINF,0.004,
erhebend,ADJX,0.004,"erhebendstem,erhebendsten,erhebender,erhebendes,erhebenden,erhebende,erhebendem,erhebendste,erhebendere,erhebenderer,erhebendst,erhebenderes,erhebendster,erhebenderen,erhebenderem,erhebendstes"
erheblich,ADJX,0.004,"erheblichste,erheblicherem,erheblichsten,erhebliche,erheblicheres,erheblicherer,erhebliches,erheblicheren,erheblichstem,erheblichen,erheblichst,erheblichem,erheblichere,erheblichster,erheblicher,erheblichstes"
erholen,VVINF,0.2357,"erholet,erholten,erhol,erholtet,erholest,erhole,erholt,erholtest,erholte,erholst"
erholsam,ADJX,0.2188,"erholsamem,erholsamste,erholsamere,erholsameres,erholsameren,erholsamerer,erholsamerem,erholsamst,erholsamster,erholsamstes,erholsamsten,erholsamstem,erholsame,erholsamer,erholsames,erholsamen"
erh«œltlich,ADJX,0.004,"erh«œltlichere,erh«œltliches,erh«œltlicher,erh«œltlichstem,erh«œltlichsten,erh«œltlichste,erh«œltlicheres,erh«œltlichst,erh«œltlicherer,erh«œltliche,erh«œltlicheren,erh«œltlicherem,erh«œltlichster,erh«œltlichem,erh«œltlichstes,erh«œltlichen"
erh«Ùhen,VVINF,0.004,"erh«Ùhtest,erh«Ùhet,erh«Ùht,erh«Ùh,erh«Ùhest,erh«Ùhte,erh«Ùhst,erh«Ùhten,erh«Ùhtet,erh«Ùhe"
erkennbar,ADJX,0.004,"erkennbarst,erkennbare,erkennbarste,erkennbarer,erkennbarstes,erkennbares,erkennbarster,erkennbarerer,erkennbareres,erkennbarem,erkennbareren,erkennbarstem,erkennbaren,erkennbarere,erkennbarsten,erkennbarerem"
erklimmen,VVINF,0.004,
erkl«œrt,VVINF,0.004,"erkl«œrtest,erkl«œrte,erkl«œrter,erkl«œrtere,erkl«œrtes,erkl«œrten,erkl«œrtem,erkl«œrteren,erkl«œrterem,erkl«œrteste,erkl«œrterer,erkl«œrteres,erkl«œrtester,erkl«œrtestes,erkl«œrtestem,erkl«œrtesten"
erlauben,VVINF,0.004,"erlaubst,erlaubtet,erlaube,erlaubt,erlaubtest,erlaubte,erlaubest,erlaub,erlaubet,erlaubten"
erleichtern,VVINF,0.004,"erleichterten,erleichterte,erleichterst,erleichtert,erleichtere,erleichter,erleichteren,erleichtertest,erleichtertet"
erleuchten,VVINF,0.004,"erleuchtetest,erleuchttet,erleucht,erleuchte,erleuchtet,erleuchtete,erleuchtetet,erleuchtest,erleuchttest,erleuchteten,erleuchtten,erleuchtte"
erl«Ùsen,VVINF,0.004,"erl«Ùset,erl«Ùse,erl«Ùst,erl«Ùsten,erl«Ùste,erl«Ùstest,erl«Ùstet,erl«Ùsest,erl«Ùs"
ermunternd,ADJX,0.004,
ermutigen,VVINF,0.004,"ermutiget,ermutigst,ermutigest,ermutige,ermutigte,ermutigtet,ermutigt,ermutig,ermutigtest,ermutigten"
ermutigend,ADJX,0.0735,
erm«Ùglichen,ADJX,0.004,"erm«Ùgliche,erm«Ùglicht,erm«Ùglichst,erm«Ùglichtet,erm«Ùglichte,erm«Ùglichtest,erm«Ùglichet,erm«Ùglichest,erm«Ùglich,erm«Ùglichten"
erneuern,VVINF,0.004,"erneuertet,erneuertest,erneuere,erneuert,erneuerst,erneuerte,erneueren,erneuerten,erneuer"
ernsthaft,ADJX,0.004,"ernsthaftem,ernsthaften,ernsthafter,ernsthaftes,ernsthafteres,ernsthaftest,ernsthafterer,ernsthafterem,ernsthafteren,ernsthaftester,ernsthaftestes,ernsthaftesten,ernsthafteste,ernsthafte,ernsthaftestem,ernsthaftere"
erreichen,VVINF,0.004,"erreichten,erreichst,erreich,erreichte,erreichtet,erreichest,erreichet,erreiche,erreicht,erreichtest"
erschaffen,VVINF,0.004,
erschlossen,ADJX,0.004,
ersprie«?lich,ADJX,0.004,"ersprie«?licher,ersprie«?liches,ersprie«?lichere,ersprie«?lichste,ersprie«?lichem,ersprie«?lichen,ersprie«?licherer,ersprie«?licheren,ersprie«?licherem,ersprie«?lichstem,ersprie«?lichsten,ersprie«?liche,ersprie«?lichster,ersprie«?lichstes,ersprie«?lichst,ersprie«?licheres"
erstaunen,VVINF,0.004,"erstaunten,erstaunte,erstaunst,erstaunet,erstauntet,erstaun,erstauntest,erstaunt,erstaune,erstaunest"
erstaunlich,ADJX,0.004,"erstaunlichst,erstaunlichste,erstaunlichere,erstaunlicheren,erstaunliches,erstaunlichstem,erstaunlicher,erstaunlicherem,erstaunlichstes,erstaunlichem,erstaunlichster,erstaunlichen,erstaunlicheres,erstaunlichsten,erstaunliche,erstaunlicherer"
erstklassig,ADJX,0.1967,"erstklassige,erstklassigste,erstklassigeres,erstklassiges,erstklassigerer,erstklassigstem,erstklassigsten,erstklassiger,erstklassigster,erstklassigem,erstklassigstes,erstklassigen,erstklassigere,erstklassigeren,erstklassigerem,erstklassigst"
erstrangig,ADJX,0.004,"erstrangigst,erstrangigste,erstrangigstes,erstrangigster,erstrangiger,erstrangiges,erstrangige,erstrangigem,erstrangigere,erstrangigen,erstrangigeren,erstrangigerem,erstrangigsten,erstrangigeres,erstrangigerer,erstrangigstem"
erstrebenswert,ADJX,0.0765,"erstrebenswerten,erstrebenswerteres,erstrebenswertem,erstrebenswertest,erstrebenswerter,erstrebenswertes,erstrebenswertestem,erstrebenswertesten,erstrebenswerterer,erstrebenswertester,erstrebenswertestes,erstrebenswerteste,erstrebenswerte,erstrebenswerteren,erstrebenswerterem,erstrebenswertere"
ertragreich,ADJX,0.004,"ertragreichere,ertragreichstem,ertragreichem,ertragreichen,ertragreicherem,ertragreichsten,ertragreicher,ertragreiches,ertragreichster,ertragreichstes,ertragreiche,ertragreichst,ertragreicheres,ertragreicherer,ertragreicheren,ertragreichste"
erweitern,VVINF,0.004,"erweitere,erweiterten,erweiteren,erweiterst,erweitertest,erweitertet,erweiterte,erweiter,erweitert"
erweitert,ADJX,0.004,
erw«¨nscht,ADJX,0.004,"erw«¨nschtesten,erw«¨nschtestem,erw«¨nschten,erw«¨nschtem,erw«¨nschte,erw«¨nschterer,erw«¨nschteres,erw«¨nschtes,erw«¨nschter,erw«¨nschteste,erw«¨nschtestes,erw«¨nschtester,erw«¨nschtest,erw«¨nschteren,erw«¨nschtere,erw«¨nschterem"
erzeugen,VVINF,0.004,"erzeuge,erzeugten,erzeuget,erzeug,erzeugtest,erzeugest,erzeugte,erzeugst,erzeugt,erzeugtet"
erzielen,VVINF,0.004,"erzielst,erzielte,erzielest,erziele,erziel,erzielt,erzieltest,erzielten,erzielet,erzieltet"
etabliert,ADJX,0.004,"etablierteste,etablierterem,etabliertere,etabliertest,etabliertestes,etabliertester,etabliertem,etablierten,etablierte,etablierter,etablierteren,etabliertes,etablierterer,etablierteres,etabliertesten,etabliertestem"
euphorisch,ADJX,0.5505,"euphorischerem,euphorische,euphorisches,euphorischstes,euphorischster,euphorischste,euphorischeres,euphorischstem,euphorischerer,euphorischem,euphorischen,euphorischst,euphorischere,euphorischeren,euphorischsten,euphorischer"
exakt,ADJX,0.004,"exaktere,exakterer,exaktem,exakteres,exakte,exaktest,exaktes,exakter,exakteste,exaktestem,exakterem,exakten,exakteren,exaktester,exaktestes,exaktesten"
exklusiv,ADJX,0.004,"exklusivstem,exklusivsten,exklusivster,exklusivstes,exklusivem,exklusivst,exklusiven,exklusives,exklusiver,exklusivste,exklusiverem,exklusiveren,exklusive,exklusiveres,exklusivere,exklusiverer"
exorbitant,ADJX,0.004,"exorbitante,exorbitanteres,exorbitantestem,exorbitantesten,exorbitanterer,exorbitanter,exorbitantere,exorbitantes,exorbitantem,exorbitanten,exorbitanteren,exorbitanterem,exorbitanteste,exorbitantest,exorbitantestes,exorbitantester"
exotisch,ADJX,0.1944,"exotischste,exotische,exotischst,exotischerer,exotischem,exotischeres,exotischer,exotisches,exotischstem,exotischsten,exotischstes,exotischen,exotischster,exotischere,exotischerem,exotischeren"
explosiv,ADJX,0.004,"explosivst,explosive,explosivstes,explosiver,explosivster,explosives,explosiven,explosiverer,explosivsten,explosivem,explosiveres,explosivstem,explosivere,explosiveren,explosiverem,explosivste"
exponiert,VVINF,0.004,"exponierte,exponiertest,exponierteren,exponierteres,exponierterer,exponiertes,exponiertere,exponierteste,exponiertester,exponierterem,exponiertestes,exponiertestem,exponiertesten,exponiertem,exponierten,exponierter"
exquisit,ADJX,0.004,"exquisiteste,exquisite,exquisitere,exquisitestes,exquisitem,exquisiten,exquisitest,exquisiterer,exquisiter,exquisiteres,exquisites,exquisitestem,exquisitesten,exquisiteren,exquisitester,exquisiterem"
extravagant,ADJX,0.004,"extravagante,extravaganteste,extravaganterem,extravaganteren,extravaganteres,extravagantere,extravaganterer,extravagantestes,extravaganten,extravagantester,extravagantem,extravagantestem,extravagantest,extravaganter,extravagantesten,extravagantes"
exzellent,ADJX,0.4198,"exzellentere,exzellenterem,exzellenteren,exzellenterer,exzellenteres,exzellente,exzellentesten,exzellenteste,exzellentestem,exzellentester,exzellentestes,exzellenten,exzellentest,exzellentem,exzellentes,exzellenter"
fabelhaft,ADJX,0.1952,"fabelhafteste,fabelhaftest,fabelhafterer,fabelhaftestes,fabelhaftester,fabelhafte,fabelhafteren,fabelhaftestem,fabelhaftem,fabelhafterem,fabelhaften,fabelhaftesten,fabelhaftes,fabelhafter,fabelhafteres,fabelhaftere"
fair,ADJX,0.3281,"fairen,fairst,fairem,fairster,fairstes,fairste,fairerem,faireren,fairstem,fairerer,fairsten,faireres,fairere,faires,fairer,faire"
famos,ADJX,0.2018,"famoserem,famoses,famoseste,famoser,famoseren,famosere,famose,famosestem,famosesten,famosester,famosestes,famosem,famoseres,famosen,famoserer,famosest"
fantasievoll,ADJX,0.004,"fantasievolle,fantasievolleren,fantasievollerem,fantasievoller,fantasievollsten,fantasievollstem,fantasievolles,fantasievollstes,fantasievollen,fantasievollster,fantasievollem,fantasievolleres,fantasievollst,fantasievollerer,fantasievollere,fantasievollste"
fantastisch,ADJX,0.3319,
faszinieren,VVINF,0.0663,"fasziniere,fasziniert,fasziniertet,faszinierst,faszinierte,faszinierten,faszinieret,fasziniertest,faszinierest,faszinier"
faszinierend,ADJX,0.3037,
favorisieren,VVINF,0.004,"favorisierst,favorisieret,favorisier,favorisierte,favorisiertet,favorisierest,favorisiere,favorisierten,favorisiert,favorisiertest"
fehlerfrei,ADJX,0.004,"fehlerfreistes,fehlerfreist,fehlerfreister,fehlerfreiste,fehlerfreie,fehlerfreiere,fehlerfreiest,fehlerfreisten,fehlerfreistem,fehlerfreiesten,fehlerfreiestem,fehlerfreiestes,fehlerfreiem,fehlerfreien,fehlerfreierem,fehlerfreies,fehlerfreiester,fehlerfreier,fehlerfreieren,fehlerfreieres,fehlerfreierer,fehlerfreieste"
feiern,VVINF,0.494,"gefeiert,feiert,feiertest,feiere,feier,feiertet,feierest,feieret,feierte,feierten,feieren,feierst"
fein,ADJX,0.4734,"feinem,feinen,feinst,feinsten,feinstem,feinstes,feinster,feine,feinere,feinerem,feinste,feineren,feines,feiner,feinerer,feineres"
fertig,ADJX,0.3757,"fertigstes,fertigster,fertigstem,fertigsten,fertigst,fertigeres,fertigem,fertigerer,fertigere,fertige,fertiger,fertigste,fertiges,fertigen,fertigerem,fertigeren"
fertigen,VVINF,0.004,"fertigten,fertigest,fertige,fertigt,fertigtest,fertiget,gefertigt,fertigtet,fertig,fertigte,fertigst"
fesch,ADJX,0.0806,"feschen,feschem,feschester,feschere,fescherem,fesches,feschestes,fescher,fescheren,feschesten,feschestem,feschest,feschstes,fescheste,feschste,fescherer,fesche,feschster,feschst,feschsten,feschstem,fescheres"
fesselnd,ADJX,0.004,
festlich,ADJX,0.2021,"festlicher,festlichere,festlicherem,festlichen,festlichem,festlichstes,festlichster,festlicheren,festlicheres,festlicherer,festlichst,festlichstem,festlichsten,festliche,festliches,festlichste"
fidel,ADJX,0.004,"fidelerem,fidelst,fideleren,fidelste,fidelere,fidelster,fideleres,fidelstes,fidelerer,fidelsten,fidelstem,fidele,fidelen,fidelem,fideles,fideler"
finanzieren,VVINF,0.004,
findig,ADJX,0.004,"findigst,findigem,findigerem,findigeren,findige,findigerer,findigere,findigste,findigstem,findigsten,findigeres,findigstes,findigster,findiges,findiger,findigen"
fit,ADJX,0.3686,"fite,fiter,fites,fitest,fitester,fitestes,fitem,fiten,fiteres,fitestem,fitesten,fiterer,fiterem,fiteren,fitere,fiteste"
flei«?ig,ADJX,0.3571,"flei«?igste,flei«?ige,flei«?igst,flei«?igem,flei«?igstes,flei«?igster,flei«?iges,flei«?iger,flei«?igere,flei«?igen,flei«?igerer,flei«?igeres,flei«?igeren,flei«?igstem,flei«?igsten,flei«?igerem"
flexibel,ADJX,0.004,"flexiblen,flexiblem,flexibler,flexiblerem,flexibles,flexibelst,flexible,flexiblere,flexibelstes,flexibelste,flexibleren,flexibelster,flexibleres,flexiblerer,flexibelstem,flexibelsten"
flink,ADJX,0.0878,"flinkeren,flinkem,flinken,flinkerem,flinke,flinkes,flinker,flinkstes,flinkster,flinkste,flinkerer,flinkstem,flinkere,flinkeres,flinksten,flinkst"
florieren,VVINF,0.004,"florierte,florierst,florierest,florier,floriertet,florierten,floriert,florieret,floriertest,floriere"
flott,ADJX,0.3394,"flotte,flotteste,flotterem,flotteren,flottest,flotten,flotterer,flottem,flottester,flotter,flottestes,flottes,flotteres,flottesten,flottestem,flottere"
fl«¨ssig,ADJX,0.2229,"fl«¨ssigst,fl«¨ssigere,fl«¨ssigste,fl«¨ssige,fl«¨ssigster,fl«¨ssiges,fl«¨ssigstes,fl«¨ssiger,fl«¨ssigen,fl«¨ssigerer,fl«¨ssigem,fl«¨ssigeres,fl«¨ssigeren,fl«¨ssigstem,fl«¨ssigsten,fl«¨ssigerem"
formvollendet,ADJX,0.004,"formvollendetstes,formvollendeteres,formvollendetster,formvollendetem,formvollendeten,formvollendetstem,formvollendetsten,formvollendeter,formvollendeterer,formvollendetes,formvollendeterem,formvollendeteren,formvollendetste,formvollendetere,formvollendete,formvollendetst"
fortdauernd,ADJX,0.004,
fortschreiten,VVINF,0.004,
frei,ADJX,0.004,"freiestem,freiesten,freiste,freistem,freisten,freistes,freister,freieres,freiere,freierer,freieste,freist,freiest,freier,freieren,freiester,freierem,freies,freien,freiestes,freiem,freie"
freikommen,VVINF,0.004,
freisprechen,VVINF,0.004,
freiwillig,ADJX,0.004,"freiwilligst,freiwilligste,freiwilligere,freiwilligster,freiwilligstes,freiwilligeren,freiwilligerem,freiwilligsten,freiwilligstem,freiwillige,freiwilliger,freiwilliges,freiwilligem,freiwilligeres,freiwilligen,freiwilligerer"
freudig,ADJX,0.3256,"freudigstem,freudigere,freudigste,freudigeren,freudigerem,freudigen,freudigem,freudiger,freudige,freudigeres,freudiges,freudigerer,freudigst,freudigster,freudigstes,freudigsten"
freuen,VVINF,0.2198,"freute,freust,freu,freutest,freut,freue,freuet,freuten,freuest,freutet,gefreut"
freundlich,ADJX,0.6022,"freundlichsten,freundlichstem,freundlicheren,freundlichen,freundlicherem,freundlichst,freundlichem,freundlicheres,freundlicherer,freundlichere,freundlicher,freundliche,freundlichster,freundlichste,freundlichstes,freundliches"
freundschaftlich,ADJX,0.004,"freundschaftlichste,freundschaftliche,freundschaftlichst,freundschaftlicherer,freundschaftlicheres,freundschaftlicheren,freundschaftlicherem,freundschaftlichem,freundschaftlichsten,freundschaftlichstem,freundschaftlichen,freundschaftlichere,freundschaftlicher,freundschaftliches,freundschaftlichstes,freundschaftlichster"
friedlich,ADJX,0.0924,"friedlichsten,friedliches,friedlicherem,friedliche,friedlichster,friedlichste,friedlichstes,friedlicheren,friedlicher,friedlicheres,friedlicherer,friedlichem,friedlichen,friedlichere,friedlichst,friedlichstem"
friedvoll,ADJX,0.0908,
froh,ADJX,0.1364,"froher,frohes,froheres,frohster,frohstes,frohe,frohere,frohste,frohstem,frohsten,frohst,froheren,froherem,frohem,froherer,frohen"
frohlocken,VVINF,0.004,"frohlocktest,frohlocke,frohlockt,frohlockst,frohlockte,frohlocket,frohlock,frohlockten,frohlockest,frohlocktet,gefrohlockt"
fruchtbar,ADJX,0.0878,"fruchtbarster,fruchtbarste,fruchtbarstes,fruchtbarst,fruchtbarsten,fruchtbarere,fruchtbarstem,fruchtbaren,fruchtbarerer,fruchtbarem,fruchtbarerem,fruchtbare,fruchtbareren,fruchtbarer,fruchtbares,fruchtbareres"
fr«Ùhlich,ADJX,0.2501,"fr«Ùhlichen,fr«Ùhlichere,fr«Ùhlicherer,fr«Ùhlichem,fr«Ùhlicheres,fr«Ùhlichstes,fr«Ùhliche,fr«Ùhlichster,fr«Ùhlicher,fr«Ùhlichstem,fr«Ùhlichsten,fr«Ùhliches,fr«Ùhlichst,fr«Ùhlicheren,fr«Ùhlicherem,fr«Ùhlichste"
fulminant,ADJX,0.004,"fulminantestem,fulminantesten,fulminanteren,fulminanteres,fulminanterer,fulminantes,fulminantest,fulminante,fulminanterem,fulminanter,fulminanteste,fulminanten,fulminantem,fulminantestes,fulminantere,fulminantester"
funkeln,VVINF,0.004,"funkelten,funkelen,gefunkelt,funkl,funkeltest,funkelte,funkelst,funkeltet,funkel,funkle,funkelt,funkele"
funktionieren,VVINF,0.004,"funktionierest,funktioniertet,funktionieret,funktioniere,funktionier,funktioniert,funktionierten,funktionierst,funktionierte,funktioniertest"
funktionierend,ADJX,0.2022,
funktionsf«œhig,ADJX,0.004,"funktionsf«œhigen,funktionsf«œhigste,funktionsf«œhigem,funktionsf«œhige,funktionsf«œhigsten,funktionsf«œhigeres,funktionsf«œhigstem,funktionsf«œhigster,funktionsf«œhigerer,funktionsf«œhigstes,funktionsf«œhigere,funktionsf«œhigerem,funktionsf«œhigst,funktionsf«œhigeren,funktionsf«œhiger,funktionsf«œhiges"
furchtlos,ADJX,0.004,"furchtlosesten,furchtlosestem,furchtlosester,furchtlose,furchtloses,furchtloser,furchtlosest,furchtlosere,furchtloseste,furchtlosestes,furchtlosem,furchtloserer,furchtlosen,furchtloseres,furchtloserem,furchtloseren"
f«œhig,ADJX,0.004,"f«œhigeres,f«œhigerer,f«œhige,f«œhigem,f«œhigen,f«œhiges,f«œhigst,f«œhiger,f«œhigstes,f«œhigster,f«œhigste,f«œhigere,f«œhigsten,f«œhigstem,f«œhigerem,f«œhigeren"
f«Ùrdern,VVINF,0.004,"gef«Ùrdert,f«Ùrder,f«Ùrderten,f«Ùrderst,f«Ùrderen,f«Ùrdert,f«Ùrdere,f«Ùrderte,f«Ùrdertet,f«Ùrdertest"
